A1,Ancestor
A2,Ancestor
A3,Ancestor
A4,Ancestor
A5,Ancestor
A6,Ancestor
A7,Ancestor
A8,Ancestor
A9,Ancestor
A10,Ancestor
A11,blank
A12,blank
B1,lasR
B2,lasR
B3,lasR
B4,lasR
B5,lasR
B6,lasR
B7,lasR
B8,lasR
B9,lasR
B10,lasR
B11,blank
B12,blank
C1,morA
C2,morA
C3,morA
C4,morA
C5,morA
C6,morA
C7,morA
C8,morA
C9,morA
C10,morA
C11,blank
C12,blank
D1,lasR+pf5r
D2,lasR+pf5r
D3,lasR+pf5r
D4,lasR+pf5r
D5,lasR+pf5r
D6,lasR+pf5r
D7,lasR+pf5r
D8,lasR+pf5r
D9,lasR+pf5r
D10,lasR+pf5r
D11,blank
D12,blank
E1,morA+pf5r
E2,morA+pf5r
E3,morA+pf5r
E4,morA+pf5r
E5,morA+pf5r
E6,morA+pf5r
E7,morA+pf5r
E8,morA+pf5r
E9,morA+pf5r
E10,morA+pf5r
E11,blank
E12,blank
F1,B1
F2,B1
F3,B1
F4,B1
F5,B1
F6,B1
F7,B1
F8,B1
F9,B1
F10,B1
F11,blank
F12,blank
G1,G1
G2,G1
G3,G1
G4,G1
G5,G1
G6,G1
G7,G1
G8,G1
G9,G1
G10,G1
G11,blank
G12,blank
H1,cap
H2,cap
H3,cap
H4,cap
H5,cap
H6,cap
H7,cap
H8,cap
H9,cap
H10,cap
H11,blank
H12,blank
